"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1780","Session persistence check","chromium","Mon Dec 22 19:35:42 UTC 2025","passed","Mon Dec 22 19:35:44 UTC 2025","User Flow Tests","user-flow.spec.ts","",""
"","1484","File upload functionality","firefox","Mon Dec 22 19:35:19 UTC 2025","passed","Mon Dec 22 19:35:21 UTC 2025","Checkout Tests","checkout.spec.ts","",""
"","6388","Multiple login/logout cycles","webkit","Mon Dec 22 19:36:41 UTC 2025","passed","Mon Dec 22 19:36:47 UTC 2025","User Flow Tests","user-flow.spec.ts","",""
"","8162","Checkbox toggle interactions","webkit","Mon Dec 22 19:35:51 UTC 2025","passed","Mon Dec 22 19:36:00 UTC 2025","Checkout Tests","checkout.spec.ts","",""
"","5302","Multiple login/logout cycles","firefox","Mon Dec 22 19:35:49 UTC 2025","passed","Mon Dec 22 19:35:54 UTC 2025","User Flow Tests","user-flow.spec.ts","",""
"","2338","Navigate through multiple pages","webkit","Mon Dec 22 19:36:10 UTC 2025","passed","Mon Dec 22 19:36:12 UTC 2025","Checkout Tests","checkout.spec.ts","",""
"","652","Empty username shows error","chromium","Mon Dec 22 19:35:34 UTC 2025","passed","Mon Dec 22 19:35:35 UTC 2025","Login Tests","login.spec.ts","",""
"","2548","Invalid login with wrong password","webkit","Mon Dec 22 19:36:18 UTC 2025","passed","Mon Dec 22 19:36:20 UTC 2025","Login Tests","login.spec.ts","",""
"","1679","Invalid login with wrong password","firefox","Mon Dec 22 19:35:33 UTC 2025","passed","Mon Dec 22 19:35:34 UTC 2025","Login Tests","login.spec.ts","",""
"","692","Empty password shows error","chromium","Mon Dec 22 19:35:35 UTC 2025","passed","Mon Dec 22 19:35:36 UTC 2025","Login Tests","login.spec.ts","",""
"","2561","Invalid login with wrong username","webkit","Mon Dec 22 19:36:20 UTC 2025","passed","Mon Dec 22 19:36:23 UTC 2025","Login Tests","login.spec.ts","",""
"","1284","Logout after successful login","chromium","Mon Dec 22 19:35:33 UTC 2025","passed","Mon Dec 22 19:35:34 UTC 2025","Login Tests","login.spec.ts","",""
"","2493","Failed login recovery flow","firefox","Mon Dec 22 19:35:46 UTC 2025","passed","Mon Dec 22 19:35:49 UTC 2025","User Flow Tests","user-flow.spec.ts","",""
"","1668","Invalid login with wrong username","firefox","Mon Dec 22 19:35:34 UTC 2025","passed","Mon Dec 22 19:35:36 UTC 2025","Login Tests","login.spec.ts","",""
"","747","Navigate through multiple pages","chromium","Mon Dec 22 19:35:29 UTC 2025","passed","Mon Dec 22 19:35:30 UTC 2025","Checkout Tests","checkout.spec.ts","",""
"","2165","Handle broken locator scenario (self-healing demo)","firefox","Mon Dec 22 19:35:57 UTC 2025","passed","Mon Dec 22 19:35:59 UTC 2025","User Flow Tests","user-flow.spec.ts","",""
"","1875","Checkbox toggle interactions","chromium","Mon Dec 22 19:35:20 UTC 2025","passed","Mon Dec 22 19:35:22 UTC 2025","Checkout Tests","checkout.spec.ts","",""
"","1907","Interact with form elements","webkit","Mon Dec 22 19:36:12 UTC 2025","passed","Mon Dec 22 19:36:14 UTC 2025","Checkout Tests","checkout.spec.ts","",""
"","6403","Dynamic loading and waiting","chromium","Mon Dec 22 19:35:23 UTC 2025","passed","Mon Dec 22 19:35:29 UTC 2025","Checkout Tests","checkout.spec.ts","",""
"","3098","Session persistence check","firefox","Mon Dec 22 19:35:54 UTC 2025","passed","Mon Dec 22 19:35:57 UTC 2025","User Flow Tests","user-flow.spec.ts","",""
"","3334","Handle broken locator scenario (self-healing demo)","webkit","Mon Dec 22 19:36:51 UTC 2025","passed","Mon Dec 22 19:36:54 UTC 2025","User Flow Tests","user-flow.spec.ts","",""
"","2619","Checkbox toggle interactions","firefox","Mon Dec 22 19:35:17 UTC 2025","passed","Mon Dec 22 19:35:19 UTC 2025","Checkout Tests","checkout.spec.ts","",""
"","1637","Empty username shows error","firefox","Mon Dec 22 19:35:40 UTC 2025","passed","Mon Dec 22 19:35:42 UTC 2025","Login Tests","login.spec.ts","",""
"","2515","Empty username shows error","webkit","Mon Dec 22 19:36:28 UTC 2025","passed","Mon Dec 22 19:36:31 UTC 2025","Login Tests","login.spec.ts","",""
"","718","Invalid login with wrong username","chromium","Mon Dec 22 19:35:32 UTC 2025","passed","Mon Dec 22 19:35:33 UTC 2025","Login Tests","login.spec.ts","",""
