"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3768","Multiple login/logout cycles","chromium","Mon Dec 15 10:05:00 UTC 2025","passed","Mon Dec 15 10:05:03 UTC 2025","User Flow Tests","user-flow.spec.ts","",""
"","3178","Session persistence check","webkit","Mon Dec 15 10:05:35 UTC 2025","passed","Mon Dec 15 10:05:38 UTC 2025","User Flow Tests","user-flow.spec.ts","",""
"","1074","Valid login with correct credentials","firefox","Mon Dec 15 10:04:51 UTC 2025","passed","Mon Dec 15 10:04:52 UTC 2025","Login Tests","login.spec.ts","",""
"","1312","Handle broken locator scenario (self-healing demo)","firefox","Mon Dec 15 10:05:08 UTC 2025","passed","Mon Dec 15 10:05:09 UTC 2025","User Flow Tests","user-flow.spec.ts","",""
"","2815","Logout after successful login","webkit","Mon Dec 15 10:05:16 UTC 2025","passed","Mon Dec 15 10:05:19 UTC 2025","Login Tests","login.spec.ts","",""
"","654","Login form is displayed on page load","firefox","Mon Dec 15 10:04:54 UTC 2025","passed","Mon Dec 15 10:04:54 UTC 2025","Login Tests","login.spec.ts","",""
"","1","Payment validation","chromium","Mon Dec 15 10:04:46 UTC 2025","skipped","Mon Dec 15 10:04:46 UTC 2025","Checkout Tests","checkout.spec.ts","",""
"","2017","Invalid login with wrong password","webkit","Mon Dec 15 10:05:11 UTC 2025","passed","Mon Dec 15 10:05:13 UTC 2025","Login Tests","login.spec.ts","",""
"","2087","Session persistence check","chromium","Mon Dec 15 10:05:03 UTC 2025","passed","Mon Dec 15 10:05:05 UTC 2025","User Flow Tests","user-flow.spec.ts","",""
"","966","Empty password shows error","firefox","Mon Dec 15 10:04:57 UTC 2025","passed","Mon Dec 15 10:04:58 UTC 2025","Login Tests","login.spec.ts","",""
"","2336","Navigate through multiple pages","chromium","Mon Dec 15 10:04:46 UTC 2025","passed","Mon Dec 15 10:04:48 UTC 2025","Checkout Tests","checkout.spec.ts","",""
"","2085","Complete user journey: Login → Dashboard → Logout","firefox","Mon Dec 15 10:04:58 UTC 2025","passed","Mon Dec 15 10:05:00 UTC 2025","User Flow Tests","user-flow.spec.ts","",""
