"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3643","Multiple login/logout cycles","firefox","Mon Dec 15 10:20:39 UTC 2025","passed","Mon Dec 15 10:20:42 UTC 2025","User Flow Tests","user-flow.spec.ts","",""
"","2998","Multiple login/logout cycles","chromium","Mon Dec 15 10:20:42 UTC 2025","passed","Mon Dec 15 10:20:45 UTC 2025","User Flow Tests","user-flow.spec.ts","",""
"","1405","Failed login recovery flow","firefox","Mon Dec 15 10:20:37 UTC 2025","passed","Mon Dec 15 10:20:39 UTC 2025","User Flow Tests","user-flow.spec.ts","",""
"","1183","Handle broken locator scenario (self-healing demo)","firefox","Mon Dec 15 10:20:44 UTC 2025","passed","Mon Dec 15 10:20:45 UTC 2025","User Flow Tests","user-flow.spec.ts","",""
"","1544","Complete user journey: Login → Dashboard → Logout","chromium","Mon Dec 15 10:20:39 UTC 2025","passed","Mon Dec 15 10:20:40 UTC 2025","User Flow Tests","user-flow.spec.ts","",""
"","0","Complete checkout flow","firefox","Mon Dec 15 10:20:26 UTC 2025","skipped","Mon Dec 15 10:20:26 UTC 2025","Checkout Tests","checkout.spec.ts","",""
"","3153","Complete user journey: Login → Dashboard → Logout","webkit","Mon Dec 15 10:21:07 UTC 2025","passed","Mon Dec 15 10:21:10 UTC 2025","User Flow Tests","user-flow.spec.ts","",""
"","1942","Session persistence check","firefox","Mon Dec 15 10:20:42 UTC 2025","passed","Mon Dec 15 10:20:44 UTC 2025","User Flow Tests","user-flow.spec.ts","",""
"","1","Add item to cart","firefox","Mon Dec 15 10:20:26 UTC 2025","skipped","Mon Dec 15 10:20:26 UTC 2025","Checkout Tests","checkout.spec.ts","",""
"","2045","Invalid login with wrong username","webkit","Mon Dec 15 10:20:56 UTC 2025","passed","Mon Dec 15 10:20:58 UTC 2025","Login Tests","login.spec.ts","",""
"","828","Empty password shows error","firefox","Mon Dec 15 10:20:35 UTC 2025","passed","Mon Dec 15 10:20:35 UTC 2025","Login Tests","login.spec.ts","",""
"","462","Invalid login with wrong password","chromium","Mon Dec 15 10:20:36 UTC 2025","passed","Mon Dec 15 10:20:36 UTC 2025","Login Tests","login.spec.ts","",""
"","2388","Navigate through multiple pages","firefox","Mon Dec 15 10:20:27 UTC 2025","passed","Mon Dec 15 10:20:29 UTC 2025","Checkout Tests","checkout.spec.ts","",""
"","0","Payment validation","firefox","Mon Dec 15 10:20:26 UTC 2025","skipped","Mon Dec 15 10:20:26 UTC 2025","Checkout Tests","checkout.spec.ts","",""
"","461","Empty password shows error","chromium","Mon Dec 15 10:20:38 UTC 2025","passed","Mon Dec 15 10:20:39 UTC 2025","Login Tests","login.spec.ts","",""
"","5250","Navigate through multiple pages","webkit","Mon Dec 15 10:20:44 UTC 2025","passed","Mon Dec 15 10:20:49 UTC 2025","Checkout Tests","checkout.spec.ts","",""
