"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1149","Handle broken locator scenario (self-healing demo)","chromium","Mon Dec 22 18:15:14 UTC 2025","passed","Mon Dec 22 18:15:15 UTC 2025","User Flow Tests","user-flow.spec.ts","",""
"","1372","Handle broken locator scenario (self-healing demo)","webkit","Mon Dec 22 18:15:27 UTC 2025","passed","Mon Dec 22 18:15:29 UTC 2025","User Flow Tests","user-flow.spec.ts","",""
"","3365","Navigate through multiple pages","webkit","Mon Dec 22 18:15:05 UTC 2025","passed","Mon Dec 22 18:15:09 UTC 2025","Checkout Tests","checkout.spec.ts","",""
"","0","Payment validation","chromium","Mon Dec 22 18:14:58 UTC 2025","skipped","Mon Dec 22 18:14:58 UTC 2025","Checkout Tests","checkout.spec.ts","",""
"","0","Complete checkout flow","firefox","Mon Dec 22 18:14:52 UTC 2025","skipped","Mon Dec 22 18:14:52 UTC 2025","Checkout Tests","checkout.spec.ts","",""
"","1947","Failed login recovery flow","webkit","Mon Dec 22 18:15:20 UTC 2025","passed","Mon Dec 22 18:15:22 UTC 2025","User Flow Tests","user-flow.spec.ts","",""
"","698","Empty username shows error","firefox","Mon Dec 22 18:14:59 UTC 2025","passed","Mon Dec 22 18:15:00 UTC 2025","Login Tests","login.spec.ts","",""
"","956","Empty password shows error","webkit","Mon Dec 22 18:15:17 UTC 2025","passed","Mon Dec 22 18:15:18 UTC 2025","Login Tests","login.spec.ts","",""
"","1","Add item to cart","chromium","Mon Dec 22 18:14:58 UTC 2025","skipped","Mon Dec 22 18:14:58 UTC 2025","Checkout Tests","checkout.spec.ts","",""
"","668","Invalid login with wrong password","chromium","Mon Dec 22 18:15:01 UTC 2025","passed","Mon Dec 22 18:15:02 UTC 2025","Login Tests","login.spec.ts","",""
"","1956","Session persistence check","firefox","Mon Dec 22 18:15:08 UTC 2025","passed","Mon Dec 22 18:15:10 UTC 2025","User Flow Tests","user-flow.spec.ts","",""
"","0","Payment validation","firefox","Mon Dec 22 18:14:52 UTC 2025","skipped","Mon Dec 22 18:14:52 UTC 2025","Checkout Tests","checkout.spec.ts","",""
"","779","Empty password shows error","firefox","Mon Dec 22 18:15:00 UTC 2025","passed","Mon Dec 22 18:15:01 UTC 2025","Login Tests","login.spec.ts","",""
"","1974","Valid login with correct credentials","webkit","Mon Dec 22 18:15:09 UTC 2025","passed","Mon Dec 22 18:15:11 UTC 2025","Login Tests","login.spec.ts","",""
"","2517","Navigate through multiple pages","firefox","Mon Dec 22 18:14:52 UTC 2025","passed","Mon Dec 22 18:14:55 UTC 2025","Checkout Tests","checkout.spec.ts","",""
"","951","Invalid login with wrong username","webkit","Mon Dec 22 18:15:12 UTC 2025","passed","Mon Dec 22 18:15:13 UTC 2025","Login Tests","login.spec.ts","",""
"","0","Complete checkout flow","webkit","Mon Dec 22 18:15:04 UTC 2025","skipped","Mon Dec 22 18:15:04 UTC 2025","Checkout Tests","checkout.spec.ts","",""
"","1793","Session persistence check","chromium","Mon Dec 22 18:15:12 UTC 2025","passed","Mon Dec 22 18:15:14 UTC 2025","User Flow Tests","user-flow.spec.ts","",""
"","429","Interact with form elements","firefox","Mon Dec 22 18:14:55 UTC 2025","passed","Mon Dec 22 18:14:55 UTC 2025","Checkout Tests","checkout.spec.ts","",""
"","1272","Logout after successful login","chromium","Mon Dec 22 18:15:03 UTC 2025","passed","Mon Dec 22 18:15:04 UTC 2025","Login Tests","login.spec.ts","",""
"","1352","Logout after successful login","firefox","Mon Dec 22 18:14:58 UTC 2025","passed","Mon Dec 22 18:14:59 UTC 2025","Login Tests","login.spec.ts","",""
"","2025","Complete user journey: Login → Dashboard → Logout","firefox","Mon Dec 22 18:15:01 UTC 2025","passed","Mon Dec 22 18:15:03 UTC 2025","User Flow Tests","user-flow.spec.ts","",""
"","483","Interact with form elements","chromium","Mon Dec 22 18:15:00 UTC 2025","passed","Mon Dec 22 18:15:00 UTC 2025","Checkout Tests","checkout.spec.ts","",""
"","445","Login form is displayed on page load","firefox","Mon Dec 22 18:14:57 UTC 2025","passed","Mon Dec 22 18:14:58 UTC 2025","Login Tests","login.spec.ts","",""
"","2058","Complete user journey: Login → Dashboard → Logout","webkit","Mon Dec 22 18:15:18 UTC 2025","passed","Mon Dec 22 18:15:20 UTC 2025","User Flow Tests","user-flow.spec.ts","",""
"","1004","Navigate through multiple pages","chromium","Mon Dec 22 18:14:59 UTC 2025","passed","Mon Dec 22 18:15:00 UTC 2025","Checkout Tests","checkout.spec.ts","",""
"","1322","Failed login recovery flow","firefox","Mon Dec 22 18:15:03 UTC 2025","passed","Mon Dec 22 18:15:04 UTC 2025","User Flow Tests","user-flow.spec.ts","",""
"","714","Valid login with correct credentials","firefox","Mon Dec 22 18:14:55 UTC 2025","passed","Mon Dec 22 18:14:56 UTC 2025","Login Tests","login.spec.ts","",""
"","1","Add item to cart","webkit","Mon Dec 22 18:15:04 UTC 2025","skipped","Mon Dec 22 18:15:04 UTC 2025","Checkout Tests","checkout.spec.ts","",""
"","659","Empty username shows error","chromium","Mon Dec 22 18:15:04 UTC 2025","passed","Mon Dec 22 18:15:05 UTC 2025","Login Tests","login.spec.ts","",""
"","647","Empty password shows error","chromium","Mon Dec 22 18:15:05 UTC 2025","passed","Mon Dec 22 18:15:06 UTC 2025","Login Tests","login.spec.ts","",""
"","1","Payment validation","webkit","Mon Dec 22 18:15:04 UTC 2025","skipped","Mon Dec 22 18:15:04 UTC 2025","Checkout Tests","checkout.spec.ts","",""
"","658","Invalid login with wrong username","firefox","Mon Dec 22 18:14:57 UTC 2025","passed","Mon Dec 22 18:14:57 UTC 2025","Login Tests","login.spec.ts","",""
"","722","Valid login with correct credentials","chromium","Mon Dec 22 18:15:00 UTC 2025","passed","Mon Dec 22 18:15:01 UTC 2025","Login Tests","login.spec.ts","",""
"","940","Empty username shows error","webkit","Mon Dec 22 18:15:16 UTC 2025","passed","Mon Dec 22 18:15:17 UTC 2025","Login Tests","login.spec.ts","",""
"","3603","Multiple login/logout cycles","firefox","Mon Dec 22 18:15:04 UTC 2025","passed","Mon Dec 22 18:15:08 UTC 2025","User Flow Tests","user-flow.spec.ts","",""
"","1778","Complete user journey: Login → Dashboard → Logout","chromium","Mon Dec 22 18:15:06 UTC 2025","passed","Mon Dec 22 18:15:07 UTC 2025","User Flow Tests","user-flow.spec.ts","",""
"","1302","Failed login recovery flow","chromium","Mon Dec 22 18:15:07 UTC 2025","passed","Mon Dec 22 18:15:09 UTC 2025","User Flow Tests","user-flow.spec.ts","",""
"","983","Invalid login with wrong password","webkit","Mon Dec 22 18:15:11 UTC 2025","passed","Mon Dec 22 18:15:12 UTC 2025","Login Tests","login.spec.ts","",""
"","664","Invalid login with wrong password","firefox","Mon Dec 22 18:14:56 UTC 2025","passed","Mon Dec 22 18:14:57 UTC 2025","Login Tests","login.spec.ts","",""
"","754","Login form is displayed on page load","webkit","Mon Dec 22 18:15:13 UTC 2025","passed","Mon Dec 22 18:15:14 UTC 2025","Login Tests","login.spec.ts","",""
"","1","Add item to cart","firefox","Mon Dec 22 18:14:52 UTC 2025","skipped","Mon Dec 22 18:14:52 UTC 2025","Checkout Tests","checkout.spec.ts","",""
"","515","Login form is displayed on page load","chromium","Mon Dec 22 18:15:03 UTC 2025","passed","Mon Dec 22 18:15:03 UTC 2025","Login Tests","login.spec.ts","",""
"","2108","Session persistence check","webkit","Mon Dec 22 18:15:25 UTC 2025","passed","Mon Dec 22 18:15:27 UTC 2025","User Flow Tests","user-flow.spec.ts","",""
"","3444","Multiple login/logout cycles","chromium","Mon Dec 22 18:15:09 UTC 2025","passed","Mon Dec 22 18:15:12 UTC 2025","User Flow Tests","user-flow.spec.ts","",""
"","1637","Logout after successful login","webkit","Mon Dec 22 18:15:14 UTC 2025","passed","Mon Dec 22 18:15:16 UTC 2025","Login Tests","login.spec.ts","",""
