"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1444","Navigate through multiple pages","chromium","Mon Dec 22 18:32:49 UTC 2025","passed","Mon Dec 22 18:32:50 UTC 2025","Checkout Tests","checkout.spec.ts","",""
"","1861","Logout after successful login","chromium","Mon Dec 22 18:32:56 UTC 2025","passed","Mon Dec 22 18:32:58 UTC 2025","Login Tests","login.spec.ts","",""
"","960","Empty username shows error","webkit","Mon Dec 22 18:33:08 UTC 2025","passed","Mon Dec 22 18:33:09 UTC 2025","Login Tests","login.spec.ts","",""
"","2022","Session persistence check","webkit","Mon Dec 22 18:33:18 UTC 2025","passed","Mon Dec 22 18:33:20 UTC 2025","User Flow Tests","user-flow.spec.ts","",""
"","1938","Failed login recovery flow","webkit","Mon Dec 22 18:33:12 UTC 2025","passed","Mon Dec 22 18:33:14 UTC 2025","User Flow Tests","user-flow.spec.ts","",""
"","0","Complete checkout flow","webkit","Mon Dec 22 18:32:54 UTC 2025","skipped","Mon Dec 22 18:32:54 UTC 2025","Checkout Tests","checkout.spec.ts","",""
"","1179","Invalid login with wrong password","chromium","Mon Dec 22 18:32:53 UTC 2025","passed","Mon Dec 22 18:32:54 UTC 2025","Login Tests","login.spec.ts","",""
"","1164","Empty password shows error","chromium","Mon Dec 22 18:32:59 UTC 2025","passed","Mon Dec 22 18:33:00 UTC 2025","Login Tests","login.spec.ts","",""
"","0","Payment validation","webkit","Mon Dec 22 18:32:54 UTC 2025","skipped","Mon Dec 22 18:32:54 UTC 2025","Checkout Tests","checkout.spec.ts","",""
"","2736","Navigate through multiple pages","firefox","Mon Dec 22 18:32:51 UTC 2025","passed","Mon Dec 22 18:32:54 UTC 2025","Checkout Tests","checkout.spec.ts","",""
"","717","Login form is displayed on page load","webkit","Mon Dec 22 18:33:05 UTC 2025","passed","Mon Dec 22 18:33:06 UTC 2025","Login Tests","login.spec.ts","",""
